cohort,round,start_utc,elapsed_minutes,time_basis,recorded_model_usd,peak_input_tokens,status,report_count,transcript
review,nxt first,2026-09-02T08:54:09.098Z,2.8921,first user to last assistant,0.641134,66497,,,~/.pi/agent/sessions/--Users-mlegls-dev-harnesses-nxt--/2026-09-02T05-15-19-440Z_01a0608b-0810-7bce-921e-5bc97e7a225b/efb15777-f097-4dca-a0af-d95507a0392c/run-0/session.jsonl
review,nxt first,2026-09-02T08:54:09.098Z,4.8319,first user to last assistant,1.153636,110215,,,~/.pi/agent/sessions/--Users-mlegls-dev-harnesses-nxt--/2026-09-02T05-15-19-440Z_01a0608b-0810-7bce-921e-5bc97e7a225b/63a8e3fb-3687-4a55-9411-74f2e8d15be6/run-0/session.jsonl
review,nxt first,2026-09-02T08:54:09.098Z,3.2644,first user to last assistant,0.610124,58929,,,~/.pi/agent/sessions/--Users-mlegls-dev-harnesses-nxt--/2026-09-02T05-15-19-440Z_01a0608b-0810-7bce-921e-5bc97e7a225b/dae4582b-26be-44b8-bfc1-c5e69ddaf340/run-0/session.jsonl
review,nxt second,2026-09-02T10:31:20.450Z,3.7095,first user to last assistant,1.043851,97655,,,~/.pi/agent/sessions/--Users-mlegls-dev-harnesses-nxt--/2026-09-02T05-15-19-440Z_01a0608b-0810-7bce-921e-5bc97e7a225b/8f51ae1b-2a0c-4865-aecd-7a843b8a210d/run-0/session.jsonl
review,nxt second,2026-09-02T10:31:20.450Z,3.0793,first user to last assistant,0.465276,38978,,,~/.pi/agent/sessions/--Users-mlegls-dev-harnesses-nxt--/2026-09-02T05-15-19-440Z_01a0608b-0810-7bce-921e-5bc97e7a225b/d575ed04-ded8-45d7-9b46-a71f2a3ee890/run-0/session.jsonl
review,nxt second,2026-09-02T10:31:20.451Z,3.0969,first user to last assistant,0.912691,91681,,,~/.pi/agent/sessions/--Users-mlegls-dev-harnesses-nxt--/2026-09-02T05-15-19-440Z_01a0608b-0810-7bce-921e-5bc97e7a225b/a1d92107-9078-4d45-86df-f94f6124249d/run-0/session.jsonl
review,concept core,2026-09-02T12:39:59.860Z,4.1734,first user to last assistant,0.888514,72287,,,~/.pi/agent/sessions/--Users-mlegls-dev-mmon-concept--/2026-09-02T10-13-50-054Z_01a0619c-5366-75a2-84d4-f9751cd85711/a70e3108-70e0-4e5b-9a8c-291349a69133/run-0/session.jsonl
review,concept core,2026-09-02T12:39:59.860Z,5.5091,first user to last assistant,1.523293,121874,,,~/.pi/agent/sessions/--Users-mlegls-dev-mmon-concept--/2026-09-02T10-13-50-054Z_01a0619c-5366-75a2-84d4-f9751cd85711/06a3bda9-d096-4a9b-9fd1-fd804e7c2c90/run-0/session.jsonl
review,concept core,2026-09-02T12:39:59.861Z,4.0333,first user to last assistant,1.245833,109216,,,~/.pi/agent/sessions/--Users-mlegls-dev-mmon-concept--/2026-09-02T10-13-50-054Z_01a0619c-5366-75a2-84d4-f9751cd85711/bd01c68c-3b0e-4ed3-9055-fdae0a2ff21e/run-0/session.jsonl
review,concept #266,2026-09-04T03:38:29.362Z,5.2295,first user to last assistant,2.02623,122401,,,~/.pi/agent/sessions/--Users-mlegls-dev-mmon-concept.codex-issue-250-shareable-build--/2026-09-04T02-55-38-159Z_01a06a57-dcaf-73f3-8c7e-113816bb0fd1/0ad54c88-c438-4cee-aaa0-cf19ecc33186/run-0/session.jsonl
review,concept #266,2026-09-04T03:38:29.378Z,5.7946,first user to last assistant,2.263941,150352,,,~/.pi/agent/sessions/--Users-mlegls-dev-mmon-concept.codex-issue-250-shareable-build--/2026-09-04T02-55-38-159Z_01a06a57-dcaf-73f3-8c7e-113816bb0fd1/22ba9da3-babe-468f-8854-05a9ff5f2569/run-0/session.jsonl
review,concept #266,2026-09-04T03:38:29.502Z,5.9211,first user to last assistant,2.387242,118281,,,~/.pi/agent/sessions/--Users-mlegls-dev-mmon-concept.codex-issue-250-shareable-build--/2026-09-04T02-55-38-159Z_01a06a57-dcaf-73f3-8c7e-113816bb0fd1/27a896b1-e5b3-433e-b889-fe5245cbfcaf/run-0/session.jsonl
review,concept #299,2026-09-07T09:47:07.837Z,4.0395,first user to last assistant,2.113734,96408,,,~/.pi/agent/sessions/--Users-mlegls-dev-mmon-concept.gh-299--/2026-09-06T13-42-14-298Z_01a076f4-901a-7704-8a20-f5bad91f8b3d/024d379d-5af5-4eea-93c9-cece1b3f08c5/run-0/session.jsonl
review,concept #299,2026-09-07T09:47:07.837Z,5.2192,first user to last assistant,3.163634,116889,,,~/.pi/agent/sessions/--Users-mlegls-dev-mmon-concept.gh-299--/2026-09-06T13-42-14-298Z_01a076f4-901a-7704-8a20-f5bad91f8b3d/7bb53e5d-8762-4585-a307-507dd42eb5dd/run-0/session.jsonl
review,concept #299,2026-09-07T09:47:07.837Z,5.7338,first user to last assistant,3.152644,118216,,,~/.pi/agent/sessions/--Users-mlegls-dev-mmon-concept.gh-299--/2026-09-06T13-42-14-298Z_01a076f4-901a-7704-8a20-f5bad91f8b3d/29b7003f-6ee7-4c2b-9cf8-558a26dc3686/run-0/session.jsonl
review,concept #275,2026-09-09T08:40:13.439Z,2.4061,first user to last assistant,0.905372,52707,,,~/.pi/agent/sessions/--Users-mlegls-dev-mmon-concept--/2026-09-09T08-15-30-563Z_01a0853c-8301-7134-b622-ff6e5a399038/e44e300c-4690-4ef6-a7cf-09605cfedfd8/run-0/session.jsonl
review,concept #275,2026-09-09T08:40:13.457Z,2.6334,first user to last assistant,0.981542,53007,,,~/.pi/agent/sessions/--Users-mlegls-dev-mmon-concept--/2026-09-09T08-15-30-563Z_01a0853c-8301-7134-b622-ff6e5a399038/7b154908-ab4b-46f3-adea-d0151195afd9/run-0/session.jsonl
review,concept #275,2026-09-09T08:40:13.548Z,2.9384,first user to last assistant,1.031536,57700,,,~/.pi/agent/sessions/--Users-mlegls-dev-mmon-concept--/2026-09-09T08-15-30-563Z_01a0853c-8301-7134-b622-ff6e5a399038/fd6c8e07-a4fd-4322-94e9-9d3dc5c282f1/run-0/session.jsonl
